Crop,Month,Year,Rainfall,WPI
Arhar,4,2012,47.5,97.1
Arhar,5,2012,31.7,99.7
Arhar,6,2012,117.8,101.6
Arhar,7,2012,250.2,108.6
Arhar,8,2012,262.4,115.6
Arhar,9,2012,193.5,118.6
Arhar,10,2012,58.7,116.3
Arhar,11,2012,30.7,114.4
Arhar,12,2012,11.7,110.2
Arhar,1,2013,11.3,109.1
Arhar,2,2013,40.1,110.6
Arhar,3,2013,15.7,116.3
Arhar,4,2013,30.4,118.1
Arhar,5,2013,57.8,118.2
Arhar,6,2013,219.8,117.7
Arhar,7,2013,310,116.5
Arhar,8,2013,254.7,116.7
Arhar,9,2013,152.7,117.2
Arhar,10,2013,129.4,118.4
Arhar,11,2013,14,119
Arhar,12,2013,6.7,118.4
Arhar,1,2014,19.2,118.1
Arhar,2,2014,27.4,118.4
Arhar,3,2014,36.1,119
Arhar,4,2014,22.2,120.6
Arhar,5,2014,72.9,121
Arhar,6,2014,95.4,120.1
Arhar,7,2014,261.2,122.2
Arhar,8,2014,237.5,126.8
Arhar,9,2014,188,126.5
Arhar,10,2014,60.2,126.3
Arhar,11,2014,14.4,127.7
Arhar,12,2014,10.7,128.2
Arhar,1,2015,17.4,134.3
Arhar,2,2015,21,139.1
Arhar,3,2015,62,144.8
Arhar,4,2015,69.4,148.4
Arhar,5,2015,53.8,157.3
Arhar,6,2015,192.8,173.7
Arhar,7,2015,242.4,174.8
Arhar,8,2015,205.2,185.5
Arhar,9,2015,131.8,196.9
Arhar,10,2015,42.9,219
Arhar,11,2015,39.4,217.1
Arhar,12,2015,15,222.8
Arhar,1,2016,19.3,215.8
Arhar,2,2016,22.8,205.5
Arhar,3,2016,27.6,201.2
Arhar,4,2016,37.4,217.5
Arhar,5,2016,62.6,216.8
Arhar,6,2016,168.3,217.2
Arhar,7,2016,289.1,215.1
Arhar,8,2016,256.3,195
Arhar,9,2016,171.9,184.6
Arhar,10,2016,76.1,182.4
Arhar,11,2016,29.7,178.9
Arhar,12,2016,14.9,166
Arhar,1,2017,19,140.7
Arhar,2,2017,22.6,133.1
Arhar,3,2017,27.8,126
Arhar,4,2017,37.9,127.2
Arhar,5,2017,62.4,121.6
Arhar,6,2017,168.1,118.3
Arhar,7,2017,289.3,114.1
Arhar,8,2017,256.2,115.4
Arhar,9,2017,171.5,118.4
Arhar,10,2017,76.3,113.8
Arhar,11,2017,29.9,111.6
Arhar,12,2017,15,112.6
Arhar,1,2018,19.2,114.9
Arhar,2,2018,20.1,116.5
Arhar,3,2018,27.1,116.6
Arhar,4,2018,40.2,115.3
Arhar,5,2018,62.7,115.9
Arhar,6,2018,165,113.2
Arhar,7,2018,286.3,111.2
Arhar,8,2018,254.3,110.8
Arhar,9,2018,171.9,110.8
Arhar,10,2018,77.2,109.4
Arhar,11,2018,28.1,114
Arhar,12,2018,14.1,123.9
Bajra,4,2012,47.5,107.7
Bajra,5,2012,31.7,109.3
Bajra,6,2012,117.8,107
Bajra,7,2012,250.2,113.9
Bajra,8,2012,262.4,120.7
Bajra,9,2012,193.5,121.7
Bajra,10,2012,58.7,114.8
Bajra,11,2012,30.7,120.4
Bajra,12,2012,11.7,127.7
Bajra,1,2013,11.3,131.6
Bajra,2,2013,40.1,132.7
Bajra,3,2013,15.7,132.5
Bajra,4,2013,30.4,136.4
Bajra,5,2013,57.8,137.6
Bajra,6,2013,219.8,136.9
Bajra,7,2013,310,135.3
Bajra,8,2013,254.7,131
Bajra,9,2013,152.7,130.9
Bajra,10,2013,129.4,129.7
Bajra,11,2013,14,129.5
Bajra,12,2013,6.7,131.1
Bajra,1,2014,19.2,132.3
Bajra,2,2014,27.4,131.5
Bajra,3,2014,36.1,133.6
Bajra,4,2014,22.2,134.4
Bajra,5,2014,72.9,134.6
Bajra,6,2014,95.4,132.5
Bajra,7,2014,261.2,134.4
Bajra,8,2014,237.5,133.2
Bajra,9,2014,188,133.9
Bajra,10,2014,60.2,129.3
Bajra,11,2014,14.4,125.6
Bajra,12,2014,10.7,123.9
Bajra,1,2015,17.4,125
Bajra,2,2015,21,123.2
Bajra,3,2015,62,124.8
Bajra,4,2015,69.4,127.3
Bajra,5,2015,53.8,126.7
Bajra,6,2015,192.8,125.2
Bajra,7,2015,242.4,124.3
Bajra,8,2015,205.2,127.4
Bajra,9,2015,131.8,132.2
Bajra,10,2015,42.9,132.7
Bajra,11,2015,39.4,135.3
Bajra,12,2015,15,139.2
Bajra,1,2016,19.3,142.9
Bajra,2,2016,22.8,144.2
Bajra,3,2016,27.6,147.7
Bajra,4,2016,37.4,155.8
Bajra,5,2016,62.6,162.6
Bajra,6,2016,168.3,158.7
Bajra,7,2016,289.1,159.6
Bajra,8,2016,256.3,159.3
Bajra,9,2016,171.9,155.1
Bajra,10,2016,76.1,148.1
Bajra,11,2016,29.7,151
Bajra,12,2016,14.9,154.7
Bajra,1,2017,19,151.9
Bajra,2,2017,22.6,151.3
Bajra,3,2017,27.8,152.6
Bajra,4,2017,37.9,153.8
Bajra,5,2017,62.4,153.2
Bajra,6,2017,168.1,149.7
Bajra,7,2017,289.3,145.4
Bajra,8,2017,256.2,143.8
Bajra,9,2017,171.5,139.4
Bajra,10,2017,76.3,132.9
Bajra,11,2017,29.9,130.2
Bajra,12,2017,15,133.9
Bajra,1,2018,19.2,131.7
Bajra,2,2018,20.1,127.9
Bajra,3,2018,27.1,126.8
Bajra,4,2018,40.2,127
Bajra,5,2018,62.7,128.1
Bajra,6,2018,165,129.5
Bajra,7,2018,286.3,132.9
Bajra,8,2018,254.3,138.2
Bajra,9,2018,171.9,141.7
Bajra,10,2018,77.2,148.6
Bajra,11,2018,28.1,161.7
Bajra,12,2018,14.1,165.1
Barley,4,2012,47.5,117.1
Barley,5,2012,31.7,118
Barley,6,2012,117.8,111.2
Barley,7,2012,250.2,113.2
Barley,8,2012,262.4,113.8
Barley,9,2012,193.5,111.8
Barley,10,2012,58.7,110.5
Barley,11,2012,30.7,113.9
Barley,12,2012,11.7,119
Barley,1,2013,11.3,119.4
Barley,2,2013,40.1,120.2
Barley,3,2013,15.7,119.5
Barley,4,2013,30.4,116.5
Barley,5,2013,57.8,114.7
Barley,6,2013,219.8,115.8
Barley,7,2013,310,115.8
Barley,8,2013,254.7,116.3
Barley,9,2013,152.7,118
Barley,10,2013,129.4,118.6
Barley,11,2013,14,120.1
Barley,12,2013,6.7,123.3
Barley,1,2014,19.2,123.9
Barley,2,2014,27.4,123.5
Barley,3,2014,36.1,124.1
Barley,4,2014,22.2,119.2
Barley,5,2014,72.9,120.7
Barley,6,2014,95.4,118.2
Barley,7,2014,261.2,120.1
Barley,8,2014,237.5,124.2
Barley,9,2014,188,127.1
Barley,10,2014,60.2,129.8
Barley,11,2014,14.4,128.4
Barley,12,2014,10.7,131
Barley,1,2015,17.4,135.4
Barley,2,2015,21,134.7
Barley,3,2015,62,132.6
Barley,4,2015,69.4,120.1
Barley,5,2015,53.8,122.7
Barley,6,2015,192.8,120.7
Barley,7,2015,242.4,121.9
Barley,8,2015,205.2,122.6
Barley,9,2015,131.8,124.3
Barley,10,2015,42.9,128.5
Barley,11,2015,39.4,133.1
Barley,12,2015,15,136.1
Barley,1,2016,19.3,138.5
Barley,2,2016,22.8,141.6
Barley,3,2016,27.6,139.4
Barley,4,2016,37.4,143.4
Barley,5,2016,62.6,148.7
Barley,6,2016,168.3,151.8
Barley,7,2016,289.1,154.2
Barley,8,2016,256.3,155.5
Barley,9,2016,171.9,154
Barley,10,2016,76.1,153.6
Barley,11,2016,29.7,159.5
Barley,12,2016,14.9,161.2
Barley,1,2017,19,161.6
Barley,2,2017,22.6,161.9
Barley,3,2017,27.8,156.9
Barley,4,2017,37.9,144.5
Barley,5,2017,62.4,137.7
Barley,6,2017,168.1,138.1
Barley,7,2017,289.3,139.3
Barley,8,2017,256.2,139.1
Barley,9,2017,171.5,140.3
Barley,10,2017,76.3,141.2
Barley,11,2017,29.9,140.4
Barley,12,2017,15,142.9
Barley,1,2018,19.2,141.6
Barley,2,2018,20.1,141
Barley,3,2018,27.1,140.8
Barley,4,2018,40.2,138.9
Barley,5,2018,62.7,139.8
Barley,6,2018,165,141.7
Barley,7,2018,286.3,141
Barley,8,2018,254.3,145
Barley,9,2018,171.9,146.7
Barley,10,2018,77.2,150.2
Barley,11,2018,28.1,153.5
Barley,12,2018,14.1,154.8
Copra,4,2012,47.5,84.3
Copra,5,2012,31.7,79.5
Copra,6,2012,117.8,80.2
Copra,7,2012,250.2,78.8
Copra,8,2012,262.4,78.1
Copra,9,2012,193.5,79.3
Copra,10,2012,58.7,78.3
Copra,11,2012,30.7,79.3
Copra,12,2012,11.7,82.1
Copra,1,2013,11.3,85.5
Copra,2,2013,40.1,82.5
Copra,3,2013,15.7,81.5
Copra,4,2013,30.4,81
Copra,5,2013,57.8,79.7
Copra,6,2013,219.8,83.5
Copra,7,2013,310,85.3
Copra,8,2013,254.7,91.7
Copra,9,2013,152.7,94.8
Copra,10,2013,129.4,109.6
Copra,11,2013,14,112.4
Copra,12,2013,6.7,112.8
Copra,1,2014,19.2,116.8
Copra,2,2014,27.4,121.6
Copra,3,2014,36.1,127.6
Copra,4,2014,22.2,141.8
Copra,5,2014,72.9,150
Copra,6,2014,95.4,147.9
Copra,7,2014,261.2,152
Copra,8,2014,237.5,172.1
Copra,9,2014,188,170
Copra,10,2014,60.2,160.9
Copra,11,2014,14.4,153.2
Copra,12,2014,10.7,148.5
Copra,1,2015,17.4,162.7
Copra,2,2015,21,161.9
Copra,3,2015,62,162
Copra,4,2015,69.4,161.9
Copra,5,2015,53.8,154.4
Copra,6,2015,192.8,145.5
Copra,7,2015,242.4,134.4
Copra,8,2015,205.2,143.8
Copra,9,2015,131.8,139.6
Copra,10,2015,42.9,135.1
Copra,11,2015,39.4,130.2
Copra,12,2015,15,118.7
Copra,1,2016,19.3,112.3
Copra,2,2016,22.8,109.7
Copra,3,2016,27.6,103.9
Copra,4,2016,37.4,103.9
Copra,5,2016,62.6,102.3
