State,District,Year,Month,Rainfall,Crop,Price
Maharashtra,Ratnagiri,2012,1,3,Arhar,97.1
Maharashtra,Amravati,2012,2,13.4,Bajra,99.7
Maharashtra,Amravati,2012,3,0,Barley,101.6
Maharashtra,Amravati,2012,4,3,Copra,108.6
Maharashtra,Amravati,2012,5,7,Cotton,115.6
Maharashtra,Amravati,2012,6,0,Gram,118.6
Maharashtra,Gadchiroli,2012,7,0,Groundnut,116.3
Maharashtra,Gadchiroli,2012,8,0,Jowar,114.4
Maharashtra,Latur,2012,9,0,Jute,110.2
Maharashtra,Latur,2013,10,3,Maize,109.1
Maharashtra,Kolhapur,2013,11,46,Masoor,110.6
Maharashtra,Kolhapur,2013,12,2.8,Moong,116.3
Maharashtra,Sholapur,2013,1,2.8,Niger,118.1
Maharashtra,Solapur,2013,2,0,Paddy,118.2
Maharashtra,Nandurbar,2013,3,0,Ragi,117.7
Maharashtra,Nandurbar,2013,4,22.8,Rappe,116.5
Maharashtra,Akola,2013,5,8,Safflower,116.7
Maharashtra,Akola,2013,6,0,Sesamum,117.2
Maharashtra,Akola,2013,7,0,Soyabean,118.4
Maharashtra,Akola,2013,8,0,Sugarcane,119
Maharashtra,Nandurbar,2013,9,0,Sunflower,118.4
Maharashtra,Nandurbar,2014,10,4.2,Urad,118.1
Maharashtra,Raigad,2014,11,36,Wheat,118.4
Maharashtra,Beed,2014,12,3,Arhar,119
Maharashtra,Beed,2014,1,0,Bajra,120.6
Maharashtra,Beed,2014,2,5.4,Barley,121
Maharashtra,Beed,2014,3,32.4,Copra,120.1
Maharashtra,Amravati,2014,4,27,Cotton,122.2
Maharashtra,Amravati,2014,5,27,Gram,126.8
Maharashtra,Amravati,2014,6,0,Groundnut,126.5
Maharashtra,Gondia,2014,7,0,Jowar,126.3
Maharashtra,Gondia,2014,8,0,Jute,127.7
Maharashtra,Gadchiroli,2014,9,0,Maize,128.2
Maharashtra,Gadchiroli,2015,10,0,Masoor,134.3
Maharashtra,Gadchiroli,2015,11,0,Moong,139.1
Maharashtra,Gadchiroli,2015,12,9.4,Niger,144.8
Maharashtra,Yavathmal,2015,1,5.2,Paddy,148.4
Maharashtra,Yavathmal,2015,2,0,Ragi,157.3
Maharashtra,Yavathmal,2015,3,0,Rappe,173.7
Maharashtra,Wardha,2015,4,0,Safflower,174.8
Maharashtra,Wardha,2015,5,0,Sesamum,185.5
Maharashtra,Wardha,2015,6,1.2,Soyabean,196.9
Maharashtra,Wardha,2015,7,0,Sugarcane,219
Maharashtra,Wardha,2015,8,0,Sunflower,217.1
Maharashtra,Wardha,2015,9,0,Urad,222.8
Maharashtra,Wardha,2016,10,9,Wheat,215.8
